gen,ind,lap,time_s,A,B,C
cma2_gen2,5,1,140.686,27.3462,1.3098,240.4571,1.2443,0.00977
cma2_gen2,5,2,135.998,27.3462,1.3098,240.4571,1.2443,0.00977
cma2_gen2,5,3,135.964,27.3462,1.3098,240.4571,1.2443,0.00977
cma2_gen2,5,4,135.840,27.3462,1.3098,240.4571,1.2443,0.00977
cma2_gen3,5,1,215.316,24.9639,1.6563,225.5300,0.5856,0.02306
cma2_gen3,5,2,211.014,24.9639,1.6563,225.5300,0.5856,0.02306
cma2_gen3,5,3,211.062,24.9639,1.6563,225.5300,0.5856,0.02306
cma2_gen4,1,1,214.734,26.2515,1.4925,204.6328,0.5853,0.02385
cma2_gen4,1,2,210.320,26.2515,1.4925,204.6328,0.5853,0.02385
cma2_gen4,1,3,207.260,26.2515,1.4925,204.6328,0.5853,0.02385
cma2_gen4,2,1,270.774,26.7422,2.0072,184.8777,0.5341,0.00820
cma2_gen4,2,2,264.176,26.7422,2.0072,184.8777,0.5341,0.00820
cma2_gen4,2,3,264.256,26.7422,2.0072,184.8777,0.5341,0.00820
cma2_gen4,4,1,189.938,25.6155,1.3370,271.2009,0.9171,0.00500
cma2_gen4,4,2,178.120,25.6155,1.3370,271.2009,0.9171,0.00500
cma2_gen4,4,3,180.162,25.6155,1.3370,271.2009,0.9171,0.00500
cma2_gen4,4,4,186.940,25.6155,1.3370,271.2009,0.9171,0.00500
cma2_gen4,6,1,406.950,25.4275,0.9966,240.5913,0.3155,0.00500
cma2_gen4,6,2,400.980,25.4275,0.9966,240.5913,0.3155,0.00500
cma2_gen5,2,1,317.516,26.5992,1.5001,267.7908,0.4922,0.00500
cma2_gen5,2,2,307.338,26.5992,1.5001,267.7908,0.4922,0.00500
cma2_gen5,4,1,192.484,27.5947,0.9738,230.5606,0.9633,0.00500
cma2_gen5,4,2,179.552,27.5947,0.9738,230.5606,0.9633,0.00500
cma2_gen5,4,3,182.104,27.5947,0.9738,230.5606,0.9633,0.00500
cma2_gen5,4,4,190.680,27.5947,0.9738,230.5606,0.9633,0.00500
cma2_gen1,1,1,167.778,26.7901,1.8264,219.5691,1.1962,0.00776
cma2_gen1,1,2,165.744,26.7901,1.8264,219.5691,1.1962,0.00776
cma2_gen1,1,3,165.792,26.7901,1.8264,219.5691,1.1962,0.00776
cma2_gen1,1,4,173.818,26.7901,1.8264,219.5691,1.1962,0.00776
cma2_gen3,4,1,165.042,27.8056,1.4306,207.4228,1.0824,0.00500
cma2_gen3,4,2,158.310,27.8056,1.4306,207.4228,1.0824,0.00500
cma2_gen3,4,3,158.558,27.8056,1.4306,207.4228,1.0824,0.00500
cma2_gen3,4,4,173.934,27.8056,1.4306,207.4228,1.0824,0.00500
cma2_gen4,2,1,174.724,26.9632,1.1591,174.3535,1.0449,0.00500
cma2_gen4,2,2,167.666,26.9632,1.1591,174.3535,1.0449,0.00500
cma2_gen4,2,3,167.146,26.9632,1.1591,174.3535,1.0449,0.00500
cma2_gen4,2,4,167.270,26.9632,1.1591,174.3535,1.0449,0.00500
cma2_gen4,4,1,166.726,27.2678,1.7358,193.8419,1.0810,0.00500
cma2_gen4,4,2,161.954,27.2678,1.7358,193.8419,1.0810,0.00500
cma2_gen4,4,3,161.706,27.2678,1.7358,193.8419,1.0810,0.00500
cma2_gen4,4,4,160.298,27.2678,1.7358,193.8419,1.0810,0.00500
cma2_gen1,1,1,155.156,26.1985,1.5555,213.7387,1.7309,0.00500
cma2_gen1,1,2,152.318,26.1985,1.5555,213.7387,1.7309,0.00500
cma2_gen1,1,3,152.158,26.1985,1.5555,213.7387,1.7309,0.00500
cma2_gen1,1,4,157.442,26.1985,1.5555,213.7387,1.7309,0.00500
cma2_gen1,1,1,144.326,26.2159,1.6935,204.0921,1.4863,0.00886,0.01929
cma2_gen1,1,2,144.626,26.2159,1.6935,204.0921,1.4863,0.00886,0.01929
cma2_gen1,1,3,144.348,26.2159,1.6935,204.0921,1.4863,0.00886,0.01929
cma2_gen1,1,4,147.402,26.2159,1.6935,204.0921,1.4863,0.00886,0.01929
cma2_gen3,6,1,160.600,26.5888,1.8598,188.0707,1.4594,0.00345,0.02924
cma2_gen3,6,2,154.200,26.5888,1.8598,188.0707,1.4594,0.00345,0.02924
cma2_gen3,6,3,154.276,26.5888,1.8598,188.0707,1.4594,0.00345,0.02924
cma2_gen3,6,4,158.746,26.5888,1.8598,188.0707,1.4594,0.00345,0.02924
cma2_gen12,2,1,133.832,26.5226,1.7701,199.8870,1.5084,0.01069,0.01859
cma2_gen12,2,2,145.086,26.5226,1.7701,199.8870,1.5084,0.01069,0.01859
cma2_gen12,2,3,144.886,26.5226,1.7701,199.8870,1.5084,0.01069,0.01859
cma2_gen12,2,4,147.778,26.5226,1.7701,199.8870,1.5084,0.01069,0.01859
cma3_gen1,1,1,153.340,25.8726,1.5937,206.9493
cma3_gen1,3,1,150.680,26.3266,1.6470,205.7241
cma3_gen2,7,1,150.782,26.4662,1.6328,178.5000
cma3_gen7,3,1,153.946,25.4090,1.9964,215.5926
cma3_gen1,1,1,152.546,26.3705,1.4833,114.2960
cma3_gen1,1,2,146.102,26.3705,1.4833,114.2960
cma3_gen1,1,3,146.172,26.3705,1.4833,114.2960
cma3_gen1,1,4,146.982,26.3705,1.4833,114.2960
cma3_gen1,2,1,149.208,27.1203,1.7280,123.9182
cma3_gen1,2,2,143.244,27.1203,1.7280,123.9182
cma3_gen1,2,3,143.272,27.1203,1.7280,123.9182
cma3_gen1,2,4,143.256,27.1203,1.7280,123.9182
cma3_gen1,3,1,149.428,26.1906,2.1412,115.7021
cma3_gen1,3,2,143.348,26.1906,2.1412,115.7021
cma3_gen1,3,3,143.382,26.1906,2.1412,115.7021
cma3_gen1,3,4,143.450,26.1906,2.1412,115.7021
cma3_gen1,4,1,149.172,26.9336,1.7025,125.4381
cma3_gen1,4,2,143.258,26.9336,1.7025,125.4381
cma3_gen1,4,3,143.172,26.9336,1.7025,125.4381
cma3_gen1,4,4,143.244,26.9336,1.7025,125.4381
cma4_gen1,1,1,143.166,26.1821,1.3990,228.3118,1.9140,0.00474
